Geneid,SRR390728,SRR390729,SRR390730,p_value,adjusted_p_value
rrsE,10.512843246635825,7.551051947348447,7.400370361678707,1.2847958349235085e-66,2.6466794199424275e-64
gltV,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrlE,10.021873198323009,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrfE,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
aceK-int,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
malH,7.175897177131124,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
pspH,7.175897177131124,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ryjA,7.78865105557699,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
pheU,6.690867246675167,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
aspX,6.690867246675167,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glyV,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glyX,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glyY,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
leuX,5.71210619513877,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
ryjB,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
symR,6.808512250026917,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
leuV,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
leuP,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
leuQ,0.0,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
